Lead_ID,Business_Name,Category,Sub_Specialization,Exact_Physical_Address,City_Region,Est_Monthly_Revenue,Avg_Ticket_Size,Current_Website_Status,Decision_Maker,SahayShakti_Pitch_Hook,Lead_Priority,Outreach_Status
SST-COUTURE-011,Odhni Ethnic & Bridal Wear,"Branded Clothing, Custom Boutiques & Bridal Wear",Traditional Designer Sarees & Lehengas,"Pitampura / Nishant Kunj, Delhi - 110034",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 30.0 - 85.0 Lakhs/mo,"Rs. 25,000 - 3,00,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-012,Pari Designer Boutique Sector 7,"Branded Clothing, Custom Boutiques & Bridal Wear","Custom Gowns, Suits & Embroidery","Sector 7 Market, Rohini, Delhi - 110085",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 6.5 - 18.0 Lakhs/mo,"Rs. 4,000 - 35,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-013,Kavita Bridal Couture Sector 8,"Branded Clothing, Custom Boutiques & Bridal Wear","Bridal Outfits, Custom Drape Sarees","Sector 8 Main Market, Rohini, Delhi - 110085",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 8.0 - 24.0 Lakhs/mo,"Rs. 8,000 - 75,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-014,Ritu Wears Boutique & Custom Studio,"Branded Clothing, Custom Boutiques & Bridal Wear","Designer Kurtis, Gowns & Indo-Western","Sector 9 Commercial Complex, Rohini - 110085",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 9.0 - 26.0 Lakhs/mo,"Rs. 6,000 - 50,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-015,The Royal Thread Custom Men's Suits,"Branded Clothing, Custom Boutiques & Bridal Wear","Bespoke Tuxedos, Sherwanis & Blazers","Sector 14 Prashant Vihar, Rohini - 110085",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 11.0 - 32.0 Lakhs/mo,"Rs. 15,000 - 1,10,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-016,Mehak Designer Studio Sector 11,"Branded Clothing, Custom Boutiques & Bridal Wear",Handcrafted Lehengas & Anarkalis,"Sector 11 G3S Mall Area, Rohini - 110085",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 7.0 - 19.0 Lakhs/mo,"Rs. 5,500 - 48,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-017,Gulati Sarees & Bridal Studio,"Branded Clothing, Custom Boutiques & Bridal Wear","Silk Sarees, Bridal Dupattas & Suits","Sector 15 Market, Rohini - 110089",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 10.0 - 30.0 Lakhs/mo,"Rs. 8,000 - 85,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-018,Shree Ganesh Designer Fabrics & Tailoring,"Branded Clothing, Custom Boutiques & Bridal Wear",Wholesale Fabrics & Custom Bridal Karigari,"Mangolpuri Textile Market Hub, Delhi - 110083",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 16.0 - 45.0 Lakhs/mo,"Rs. 10,000 - 90,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-019,Manav Tailors & Bespoke Suits,"Branded Clothing, Custom Boutiques & Bridal Wear",High-End Suit Stitching & Safari Suits,"Sector 7 Market, Rohini, Delhi - 110085",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 6.0 - 16.0 Lakhs/mo,"Rs. 4,500 - 35,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-COUTURE-020,Aanchal Bridal Studio & Boutique,"Branded Clothing, Custom Boutiques & Bridal Wear","Custom Lehengas, Trousseau & Gowns","Sector 24 Market, Rohini, Delhi - 110085",Pitampura / Rani Bagh / Rohini Commercial Hubs,Rs. 7.5 - 21.0 Lakhs/mo,"Rs. 6,000 - 60,000",NO DEDICATED E-COMMERCE / LOOKBOOK WEBSITE,Fashion Designer / Boutique Founder,"Pitch 'SahayShakti Couture & Lookbook Suite': Interactive bridal lookbook, video showcase for designer lehengas, custom measurements booking, and direct UPI token deposit system.",HOT (High Demand Bridal & Festive Client Base),Uncontacted
SST-OSM-CLOTH-0001,Pyare Lal Ashok Leyland,"Branded Clothing, Custom Boutiques & Bridal Wear",Custom Apparel / Tailoring Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.779, Lon: 77.143)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0002,Matta Sports,"Branded Clothing, Custom Boutiques & Bridal Wear",Sports Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.685, Lon: 77.130)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0003,Westside,"Branded Clothing, Custom Boutiques & Bridal Wear",Clothes Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.651, Lon: 77.121)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0004,Singla Garments,"Branded Clothing, Custom Boutiques & Bridal Wear",Clothes Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.739, Lon: 77.125)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0005,The Rock Gym,"Branded Clothing, Custom Boutiques & Bridal Wear",Custom Apparel / Tailoring Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.737, Lon: 77.125)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0006,Anytime Fitness,"Branded Clothing, Custom Boutiques & Bridal Wear",Custom Apparel / Tailoring Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.719, Lon: 77.110)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0007,Sunny Jewellers,"Branded Clothing, Custom Boutiques & Bridal Wear",Jewelry Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.652, Lon: 77.096)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0008,Baldev Raj Jewellers,"Branded Clothing, Custom Boutiques & Bridal Wear",Jewelry Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.652, Lon: 77.096)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0009,Gems India,"Branded Clothing, Custom Boutiques & Bridal Wear",Jewelry Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.719, Lon: 77.110)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0010,Diamond Palace Jewellers,"Branded Clothing, Custom Boutiques & Bridal Wear",Jewelry Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.701, Lon: 77.136)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0011,जगर्नॉट फ़िट्नेस क्लब,"Branded Clothing, Custom Boutiques & Bridal Wear",Custom Apparel / Tailoring Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.681, Lon: 77.177)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0012,Max,"Branded Clothing, Custom Boutiques & Bridal Wear",Clothes Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.717, Lon: 77.114)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",https://www.maxfashion.in/,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0013,Max,"Branded Clothing, Custom Boutiques & Bridal Wear",Clothes Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.657, Lon: 77.146)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",https://www.maxfashion.in/,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0014,fabindia,"Branded Clothing, Custom Boutiques & Bridal Wear",Clothes Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.700, Lon: 77.136)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",https://www.fabindia.com/,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0015,Fabindia,"Branded Clothing, Custom Boutiques & Bridal Wear",Clothes Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.661, Lon: 77.088)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",https://www.fabindia.com/,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0016,Fabindia,"Branded Clothing, Custom Boutiques & Bridal Wear",Clothes Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.709, Lon: 77.135)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",https://www.fabindia.com/,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0017,Nikhar Jewellery,"Branded Clothing, Custom Boutiques & Bridal Wear",Jewelry Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.694, Lon: 77.172)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0018,Fitholic Gym,"Branded Clothing, Custom Boutiques & Bridal Wear",Custom Apparel / Tailoring Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.680, Lon: 77.089)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0019,Sunita Tailor,"Branded Clothing, Custom Boutiques & Bridal Wear",Tailor Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.688, Lon: 77.186)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0020,Colors,"Branded Clothing, Custom Boutiques & Bridal Wear",Clothes Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.688, Lon: 77.184)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0021,Mittal Atta Chakki,"Branded Clothing, Custom Boutiques & Bridal Wear",Wholesale Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.690, Lon: 77.160)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0022,Many Selection,"Branded Clothing, Custom Boutiques & Bridal Wear",Clothes Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.728, Lon: 77.170)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0023,Sai Kambal House,"Branded Clothing, Custom Boutiques & Bridal Wear",Tailor Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.725, Lon: 77.170)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0024,Mohammad Fahad Bangles,"Branded Clothing, Custom Boutiques & Bridal Wear",Jewelry Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.730, Lon: 77.175)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0025,Unique Collection,"Branded Clothing, Custom Boutiques & Bridal Wear",Tailor Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.727, Lon: 77.171)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0026,Meenu Jewellers,"Branded Clothing, Custom Boutiques & Bridal Wear",Jewelry Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.730, Lon: 77.170)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
SST-OSM-CLOTH-0027,New Style Tailors,"Branded Clothing, Custom Boutiques & Bridal Wear",Tailor Shop / Custom Studio,"Rohini / North-West Commercial Belt (Lat: 28.730, Lon: 77.164)",Rohini / Pitampura / Rani Bagh,Rs. 6.0 - 22.0 Lakhs/mo,"Rs. 3,500 - 45,000",NO OFFICIAL WEBSITE,Boutique Owner / Senior Master Tailor,"Pitch 'SahayShakti Glamour Suite': Mobile catalog, online custom order booking, and direct Instagram-to-WhatsApp client conversion funnel.",HOT (Zero Web Presence),Uncontacted
