Lead_ID,Business_Name,Category,Sub_Specialization,Exact_Physical_Address,City_Region,Est_Monthly_Revenue,Avg_Ticket_Size,Current_Website_Status,Decision_Maker,SahayShakti_Pitch_Hook,Lead_Priority,Outreach_Status
SST-SHOE-FAC-011,Liberty Shoes Regional Hub Rohini,Shoe Factories & Footwear Manufacturers,Industrial Footwear & Casual Footwear Depot,"Badli Industrial Area / Rohini Link, Delhi",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 35.0 - 85.0 Lakhs/mo,"Rs. 50,000 - 5,00,000",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-012,AeroWalk EVA Footwear Factory,Shoe Factories & Footwear Manufacturers,"Slippers, Flip Flops & Injection Moulding","Mangolpuri Industrial Area Phase 2, Delhi - 110034",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 18.0 - 48.0 Lakhs/mo,"Rs. 20,000 - 2,50,000",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-013,StepUp Custom Sneaker & Shoe Factory,Shoe Factories & Footwear Manufacturers,Custom Sneaker Design & Soling Plant,"Wazirpur Industrial Area (North-West Link), Delhi",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 16.0 - 42.0 Lakhs/mo,"Rs. 15,000 - 1,80,000",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-014,Crown Leather & Footwear Exports,Shoe Factories & Footwear Manufacturers,"Leather Shoes, Safety Boots & Export Orders","Mangolpuri Industrial Area Phase 2, Delhi - 110034",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 30.0 - 90.0 Lakhs/mo,"Rs. 75,000 - 8,00,000",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-015,Relaxwell Footwear & Soles,Shoe Factories & Footwear Manufacturers,EVA Sheet & Footwear Manufacturing,"Badli Industrial Area, Delhi - 110042",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 14.0 - 38.0 Lakhs/mo,"Rs. 20,000 - 2,00,000",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-016,Delhi Footwear Components & Moulds,Shoe Factories & Footwear Manufacturers,"Shoe Moulds, Uppers & Heel Counters","Mangolpuri Phase 1, Delhi - 110034",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 15.0 - 40.0 Lakhs/mo,"Rs. 25,000 - 3,00,000",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-017,Metro Sole Industries,Shoe Factories & Footwear Manufacturers,"TPR, TPU & Air-Mix Shoe Soles","Badli Industrial Area Phase 2, Delhi - 110042",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 22.0 - 55.0 Lakhs/mo,"Rs. 40,000 - 4,50,000",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-018,Kavita Footwear Manufacturing,Shoe Factories & Footwear Manufacturers,"Women's Footwear, Flats & Heels Factory","Mangolpuri Industrial Area Phase 2, Delhi - 110034",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 16.0 - 45.0 Lakhs/mo,"Rs. 25,000 - 2,20,000",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-019,Shree Balaji Footwear Works,Shoe Factories & Footwear Manufacturers,PU Gents Footwear & Sandals Factory,"Nangloi-Rohini Industrial Link, Delhi - 110041",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 20.0 - 50.0 Lakhs/mo,"Rs. 30,000 - 3,00,000",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
SST-SHOE-FAC-020,Radha Krishna Shoes & Soling Works,Shoe Factories & Footwear Manufacturers,Fabrication & Vulcanized Rubber Footwear,"Mangolpuri Industrial Area Phase 1, Delhi - 110034",North-West Delhi (Mangolpuri / Badli / Rohini),Rs. 18.0 - 46.0 Lakhs/mo,"Rs. 25,000 - 2,80,000",NO EXPORT / B2B CATALOG WEBSITE (High Vulnerability),Managing Director / Factory Owner,"Pitch 'SahayShakti B2B Manufacturer & Export Portal': Digital product catalog, wholesale RFQ (Request For Quote) form, and direct WhatsApp bulk buyer inquiries to bypass trade commission.",HOT (Massive B2B Turnover / No Website),Uncontacted
