Lead_ID,Business_Name,Category,Locality,Landmark,City_Pincode,Est_Monthly_Revenue,Avg_Ticket_Size,Google_Rating,Current_Online_Status,Decision_Maker,Contact_Reference,Key_Vulnerability,SahayShakti_Pitch_Hook,Lead_Priority,Outreach_Status
SST-ROH-1309,Study Metro Overseas Education & IELTS,Coaching Institutes & EdTech,Pitampura Commercial Hub,Near Netaji Subhash Place / Rani Bagh,"Rohini, Delhi - 110034",Rs. 25.0 - 30.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.4 Stars (616 Reviews),Extremely Outdated Static Page (Not Mobile Responsive),Directors / Academic Heads,+91 9865 686 791,No online demo lecture registration or test series lead-capture funnel; loses students to branded test prep portals.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1310,Alpha Plus Maths & Economics Academy,Coaching Institutes & EdTech,Sector 7 Market,Near Rohini West Metro Station,"Rohini, Delhi - 110085",Rs. 8.0 - 11.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.4 Stars (627 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Directors / Academic Heads,+91 9817 374 716,No online demo lecture registration or test series lead-capture funnel; loses students to branded test prep portals.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1311,Target NEET Medical Classes Rohini,Coaching Institutes & EdTech,Sector 8 Main Market,Near Rohini East Metro Station,"Rohini, Delhi - 110085",Rs. 15.0 - 20.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.4 Stars (477 Reviews),Extremely Outdated Static Page (Not Mobile Responsive),Directors / Academic Heads,+91 9816 418 308,"No dedicated landing page for seasonal crash courses (CUET, NEET, CA Foundation, IELTS intake).","Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1312,EduQuest Academy Class 9 to 12 Tuitions,Coaching Institutes & EdTech,Sector 9 Commercial Complex,Near DC Chowk,"Rohini, Delhi - 110085",Rs. 25.0 - 29.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.8 Stars (147 Reviews),No Website (Only Justdial & Google Map listing),Directors / Academic Heads,+91 9848 989 526,Lacks parent-student inquiry portal and online fee payment / brochure download page.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1313,Career Launcher Rohini Partner Centre,Coaching Institutes & EdTech,Sector 11 Market,Near G3S Mall & Garg Trade Centre,"Rohini, Delhi - 110085",Rs. 26.0 - 28.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.3 Stars (553 Reviews),No Website (Only Instagram Profile & WhatsApp link),Directors / Academic Heads,+91 9866 513 931,"No dedicated landing page for seasonal crash courses (CUET, NEET, CA Foundation, IELTS intake).","Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1314,Apex Humanities & Law Entrance Hub,Coaching Institutes & EdTech,Sector 13 Central Market,Ring Road / Bhagwan Mahavir Hospital Road,"Rohini, Delhi - 110085",Rs. 9.0 - 14.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.6 Stars (179 Reviews),No Website (Only Justdial & Google Map listing),Directors / Academic Heads,+91 9817 855 621,Lacks parent-student inquiry portal and online fee payment / brochure download page.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1315,Bright Future IELTS & Spoken English,Coaching Institutes & EdTech,Sector 14 Prashant Vihar,Near Fun Cinema / Outer Ring Road,"Rohini, Delhi - 110085",Rs. 13.0 - 18.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.6 Stars (535 Reviews),No Website (Only IndiaMART / Sulekha listing),Directors / Academic Heads,+91 9855 276 404,"No dedicated landing page for seasonal crash courses (CUET, NEET, CA Foundation, IELTS intake).","Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1316,Focus Point Science Academy (CBSE/JEE),Coaching Institutes & EdTech,Sector 15 Main Commercial Market,Near KN Katju Marg,"Rohini, Delhi - 110089",Rs. 18.0 - 22.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.5 Stars (75 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Directors / Academic Heads,+91 9819 329 885,Relies only on offline pamphlets and banners; zero Google search presence for competitive courses in Rohini.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1317,Success Mantra CLAT & Law Entrance Hub,Coaching Institutes & EdTech,Sector 16 Market,Opposite DTU Hub,"Rohini, Delhi - 110089",Rs. 27.0 - 29.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.5 Stars (464 Reviews),No Website (Only IndiaMART / Sulekha listing),Directors / Academic Heads,+91 9882 699 711,Lacks parent-student inquiry portal and online fee payment / brochure download page.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1318,Pinnacle Commerce Classes & CA Inter,Coaching Institutes & EdTech,Sector 17 Commercial Hub,Near City Centre,"Rohini, Delhi - 110089",Rs. 16.0 - 19.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.5 Stars (647 Reviews),No Website (Only Instagram Profile & WhatsApp link),Directors / Academic Heads,+91 9852 982 364,No online demo lecture registration or test series lead-capture funnel; loses students to branded test prep portals.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1319,Imperial Overseas Education & IELTS Centre,Coaching Institutes & EdTech,Sector 24 Commercial Centre,Near Rithala Metro Link,"Rohini, Delhi - 110085",Rs. 19.0 - 24.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.9 Stars (661 Reviews),Extremely Outdated Static Page (Not Mobile Responsive),Directors / Academic Heads,+91 9828 517 951,No online demo lecture registration or test series lead-capture funnel; loses students to branded test prep portals.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1320,Vedic Maths & Abacus Brain Academy,Coaching Institutes & EdTech,Sector 3 Rohini Market,Near Jaipur Golden Hospital,"Rohini, Delhi - 110085",Rs. 24.0 - 29.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.5 Stars (440 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Directors / Academic Heads,+91 9844 809 520,Relies only on offline pamphlets and banners; zero Google search presence for competitive courses in Rohini.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1321,Gupta Chemistry Classes For JEE/NEET,Coaching Institutes & EdTech,Sector 5 CSC Market,Near Rajiv Gandhi Cancer Institute,"Rohini, Delhi - 110085",Rs. 24.0 - 30.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.7 Stars (672 Reviews),No Website (Only IndiaMART / Sulekha listing),Directors / Academic Heads,+91 9820 250 926,Lacks parent-student inquiry portal and online fee payment / brochure download page.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1322,Kumar Physics Classes For IIT Aspirants,Coaching Institutes & EdTech,Sector 6 Commercial Complex,Near Ayodhya Chowk,"Rohini, Delhi - 110085",Rs. 11.0 - 13.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.9 Stars (113 Reviews),Extremely Outdated Static Page (Not Mobile Responsive),Directors / Academic Heads,+91 9818 779 845,"No dedicated landing page for seasonal crash courses (CUET, NEET, CA Foundation, IELTS intake).","Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1323,Genius Mind Tuition Bureau & Home Tutors,Coaching Institutes & EdTech,Sector 18 Commercial Hub,Badli Road / Samaypur link,"Rohini, Delhi - 110089",Rs. 19.0 - 21.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.5 Stars (52 Reviews),No Website (Only Justdial & Google Map listing),Directors / Academic Heads,+91 9820 419 117,Relies only on offline pamphlets and banners; zero Google search presence for competitive courses in Rohini.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1324,Achievers IELTS & German Language Academy,Coaching Institutes & EdTech,Sector 22 Market,Near Pocket 4 Market,"Rohini, Delhi - 110086",Rs. 19.0 - 22.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.4 Stars (544 Reviews),Extremely Outdated Static Page (Not Mobile Responsive),Directors / Academic Heads,+91 9888 979 248,Relies only on offline pamphlets and banners; zero Google search presence for competitive courses in Rohini.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1325,Aryavart Academy For NDA & Defence Exams,Coaching Institutes & EdTech,Sector 25 Marble & Commercial Hub,Near Rithala Industrial Area,"Rohini, Delhi - 110085",Rs. 12.0 - 14.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.3 Stars (228 Reviews),No Website (Only Justdial & Google Map listing),Directors / Academic Heads,+91 9899 906 960,"No dedicated landing page for seasonal crash courses (CUET, NEET, CA Foundation, IELTS intake).","Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1326,Sharma Commerce & Accountancy Tutorials,Coaching Institutes & EdTech,Mangolpuri Marble Market Hub (Rohini Border),Main Outer Ring Road,"Rohini, Delhi - 110083",Rs. 21.0 - 23.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.6 Stars (492 Reviews),No Website (Only Instagram Profile & WhatsApp link),Directors / Academic Heads,+91 9836 404 508,No online demo lecture registration or test series lead-capture funnel; loses students to branded test prep portals.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1327,Excel IELTS & English Language Institute,Coaching Institutes & EdTech,GT Karnal Road Banquet Belt,Alipur / Rohini Extn,"Rohini, Delhi - 110036",Rs. 14.0 - 19.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.4 Stars (97 Reviews),No Website (Only Justdial & Google Map listing),Directors / Academic Heads,+91 9855 592 298,Lacks parent-student inquiry portal and online fee payment / brochure download page.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1328,Triumph Academy For CUET & UG Entrances,Coaching Institutes & EdTech,Pitampura Commercial Hub,Near Netaji Subhash Place / Rani Bagh,"Rohini, Delhi - 110034",Rs. 26.0 - 28.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.5 Stars (195 Reviews),No Website (Only Instagram Profile & WhatsApp link),Directors / Academic Heads,+91 9848 473 406,Lacks parent-student inquiry portal and online fee payment / brochure download page.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1329,Future Wings Study Abroad Consultancy,Coaching Institutes & EdTech,Sector 7 Market,Near Rohini West Metro Station,"Rohini, Delhi - 110085",Rs. 14.0 - 17.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.6 Stars (641 Reviews),No Website (Only IndiaMART / Sulekha listing),Directors / Academic Heads,+91 9848 416 432,No online demo lecture registration or test series lead-capture funnel; loses students to branded test prep portals.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1330,Masterminds Mathematics & Science Centre,Coaching Institutes & EdTech,Sector 8 Main Market,Near Rohini East Metro Station,"Rohini, Delhi - 110085",Rs. 20.0 - 22.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.7 Stars (571 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Directors / Academic Heads,+91 9887 688 347,No online demo lecture registration or test series lead-capture funnel; loses students to branded test prep portals.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1331,Kalyan Commerce Classes For CA/CS,Coaching Institutes & EdTech,Sector 9 Commercial Complex,Near DC Chowk,"Rohini, Delhi - 110085",Rs. 9.0 - 11.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.8 Stars (183 Reviews),No Website (Only Justdial & Google Map listing),Directors / Academic Heads,+91 9845 638 240,No online demo lecture registration or test series lead-capture funnel; loses students to branded test prep portals.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",High Priority,Uncontacted / Ready for Pitch
SST-ROH-1332,Gravity Science Classes For JEE/NEET,Coaching Institutes & EdTech,Sector 11 Market,Near G3S Mall & Garg Trade Centre,"Rohini, Delhi - 110085",Rs. 20.0 - 26.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.4 Stars (129 Reviews),No Website (Only IndiaMART / Sulekha listing),Directors / Academic Heads,+91 9880 615 263,No online demo lecture registration or test series lead-capture funnel; loses students to branded test prep portals.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1333,The English Hub IELTS & PTE Coaching,Coaching Institutes & EdTech,Sector 13 Central Market,Ring Road / Bhagwan Mahavir Hospital Road,"Rohini, Delhi - 110085",Rs. 27.0 - 31.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.7 Stars (207 Reviews),Broken / Inactive Free Subdomain (.business.site discontinued),Directors / Academic Heads,+91 9849 624 109,No online demo lecture registration or test series lead-capture funnel; loses students to branded test prep portals.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1334,Zenith Commerce Academy For Board Prep,Coaching Institutes & EdTech,Sector 14 Prashant Vihar,Near Fun Cinema / Outer Ring Road,"Rohini, Delhi - 110085",Rs. 27.0 - 30.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.5 Stars (324 Reviews),No Website (Only Instagram Profile & WhatsApp link),Directors / Academic Heads,+91 9847 584 139,"No dedicated landing page for seasonal crash courses (CUET, NEET, CA Foundation, IELTS intake).","Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
SST-ROH-1335,Pioneer Institute Of Foreign Languages,Coaching Institutes & EdTech,Sector 15 Main Commercial Market,Near KN Katju Marg,"Rohini, Delhi - 110089",Rs. 23.0 - 28.0 Lakhs/mo,"Rs. 15,000 - Rs. 85,000",4.8 Stars (592 Reviews),No Website (Only Instagram Profile & WhatsApp link),Directors / Academic Heads,+91 9878 591 424,No online demo lecture registration or test series lead-capture funnel; loses students to branded test prep portals.,"Pitch 'SahayShakti EduGrowth Portal': Free demo lecture registration page, automated brochure download funnel, and student inquiry CRM.",Hot (High Revenue / Zero Web Presence),Uncontacted / Ready for Pitch
